State_Count,Date,State,Active,Deceased,Recovered,State_Name
1,12-Jun-20,TR,41,0,0,Tripura
1,12-Jun-20,TT,11306,388,7263,Total
1,12-Jun-20,UN,-616,0,0,State Unassigned
1,12-Jun-20,UP,528,20,317,Uttar Pradesh
1,12-Jun-20,UT,69,5,61,Uttarakhand
1,12-Jun-20,WB,476,9,218,West Bengal
1,12-May-20,AN,0,0,0,Andaman and Nicobar Islands
1,12-May-20,AP,71,1,58,Andhra Pradesh
1,12-May-20,AR,0,0,0,Arunachal Pradesh
1,12-May-20,AS,0,0,0,Assam
1,12-May-20,BR,130,0,5,Bihar
1,12-May-20,CH,6,0,2,Chandigarh
1,12-May-20,CT,0,0,1,Chhattisgarh
1,12-May-20,DD,0,0,0,Daman and Diu
1,12-May-20,DL,406,13,383,Delhi
1,12-May-20,DN,0,0,1,Dadra and Nagar Haveli and Daman and Diu
1,12-May-20,GA,0,0,0,Goa
1,12-May-20,GJ,362,24,466,Gujarat
1,12-May-20,HP,8,0,0,Himachal Pradesh
1,12-May-20,HR,50,0,5,Haryana
1,12-May-20,JH,11,0,1,Jharkhand
1,12-May-20,JK,55,0,28,Jammu and Kashmir
1,12-May-20,KA,63,0,7,Karnataka
1,12-May-20,KL,5,0,0,Kerala
1,12-May-20,LA,0,0,0,Ladakh
1,12-May-20,LD,0,0,0,Lakshadweep
1,12-May-20,MH,1026,53,339,Maharashtra
1,12-May-20,ML,0,0,0,Meghalaya
1,12-May-20,MN,0,0,0,Manipur
1,12-May-20,MP,201,4,113,Madhya Pradesh
1,12-May-20,MZ,0,0,0,Mizoram
1,12-May-20,NL,0,0,0,Nagaland
1,12-May-20,OR,22,0,31,Odisha
1,12-May-20,PB,37,1,3,Punjab
1,12-May-20,PY,0,0,0,Puducherry
1,12-May-20,RJ,138,4,130,Rajasthan
1,12-May-20,SK,0,0,0,Sikkim
1,12-May-20,TG,51,2,21,Telangana
1,12-May-20,TN,716,8,83,Tamil Nadu
1,12-May-20,TR,2,0,0,Tripura
1,12-May-20,TT,3562,120,1905,Total
1,12-May-20,UN,0,0,0,State Unassigned
1,12-May-20,UP,91,2,115,Uttar Pradesh
1,12-May-20,UT,1,0,0,Uttarakhand
1,12-May-20,WB,110,8,113,West Bengal
1,13-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
1,13-Apr-20,AP,19,0,0,Andhra Pradesh
1,13-Apr-20,AR,0,0,0,Arunachal Pradesh
1,13-Apr-20,AS,2,0,0,Assam
1,13-Apr-20,BR,2,0,2,Bihar
1,13-Apr-20,CH,0,0,0,Chandigarh
1,13-Apr-20,CT,0,0,0,Chhattisgarh
1,13-Apr-20,DD,0,0,0,Daman and Diu
1,13-Apr-20,DL,356,4,3,Delhi
1,13-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,13-Apr-20,GA,0,0,0,Goa
1,13-Apr-20,GJ,56,2,10,Gujarat
1,13-Apr-20,HP,0,0,0,Himachal Pradesh
1,13-Apr-20,HR,1,0,7,Haryana
1,13-Apr-20,JH,5,0,0,Jharkhand
1,13-Apr-20,JK,25,0,10,Jammu and Kashmir
1,13-Apr-20,KA,15,2,6,Karnataka
1,13-Apr-20,KL,3,0,19,Kerala
1,13-Apr-20,LA,2,0,1,Ladakh
1,13-Apr-20,LD,0,0,0,Lakshadweep
1,13-Apr-20,MH,352,11,12,Maharashtra
1,13-Apr-20,ML,1,0,0,Meghalaya
1,13-Apr-20,MN,0,0,0,Manipur
1,13-Apr-20,MP,52,7,10,Madhya Pradesh
1,13-Apr-20,MZ,0,0,0,Mizoram
1,13-Apr-20,NL,0,0,0,Nagaland
1,13-Apr-20,OR,1,0,6,Odisha
1,13-Apr-20,PB,6,0,2,Punjab
1,13-Apr-20,PY,0,0,0,Puducherry
1,13-Apr-20,RJ,93,0,0,Rajasthan
1,13-Apr-20,SK,0,0,0,Sikkim
1,13-Apr-20,TG,61,1,0,Telangana
1,13-Apr-20,TN,98,0,8,Tamil Nadu
1,13-Apr-20,TR,0,0,0,Tripura
1,13-Apr-20,TT,1243,27,112,Total
1,13-Apr-20,UN,0,0,0,State Unassigned
1,13-Apr-20,UP,75,0,4,Uttar Pradesh
1,13-Apr-20,UT,0,0,2,Uttarakhand
1,13-Apr-20,WB,18,0,10,West Bengal
1,13-Jul-20,AN,3,0,9,Andaman and Nicobar Islands
1,13-Jul-20,AP,1935,37,1052,Andhra Pradesh
1,13-Jul-20,AR,27,1,7,Arunachal Pradesh
1,13-Jul-20,AS,1001,4,522,Assam
1,13-Jul-20,BR,1116,9,411,Bihar
1,13-Jul-20,CH,29,0,6,Chandigarh
1,13-Jul-20,CT,184,0,49,Chhattisgarh
1,13-Jul-20,DD,0,0,0,Daman and Diu
1,13-Jul-20,DL,1246,40,1344,Delhi
1,13-Jul-20,DN,25,0,42,Dadra and Nagar Haveli and Daman and Diu
1,13-Jul-20,GA,130,3,53,Goa
1,13-Jul-20,GJ,902,10,608,Gujarat
1,13-Jul-20,HP,30,0,11,Himachal Pradesh
1,13-Jul-20,HR,689,7,654,Haryana
1,13-Jul-20,JH,203,2,43,Jharkhand
1,13-Jul-20,JK,314,8,116,Jammu and Kashmir
1,13-Jul-20,KA,2738,73,838,Karnataka
1,13-Jul-20,KL,449,2,162,Kerala
1,13-Jul-20,LA,7,0,18,Ladakh
1,13-Jul-20,LD,0,0,0,Lakshadweep
1,13-Jul-20,MH,6497,193,4182,Maharashtra
1,13-Jul-20,ML,21,0,1,Meghalaya
1,13-Jul-20,MN,17,0,74,Manipur
1,13-Jul-20,MP,575,10,332,Madhya Pradesh
1,13-Jul-20,MZ,2,0,1,Mizoram
1,13-Jul-20,NL,71,0,13,Nagaland
1,13-Jul-20,OR,616,7,505,Odisha
1,13-Jul-20,PB,357,5,194,Punjab
1,13-Jul-20,PY,50,0,46,Puducherry
1,13-Jul-20,RJ,544,8,527,Rajasthan
1,13-Jul-20,SK,2,0,6,Sikkim
1,13-Jul-20,TG,1550,9,1197,Telangana
1,13-Jul-20,TN,4328,66,3035,Tamil Nadu
1,13-Jul-20,TR,26,0,54,Tripura
1,13-Jul-20,TT,28178,541,17683,Total
1,13-Jul-20,UN,-666,0,0,State Unassigned
1,13-Jul-20,UP,1654,21,869,Uttar Pradesh
1,13-Jul-20,UT,71,2,70,Uttarakhand
1,13-Jul-20,WB,1435,24,632,West Bengal
1,13-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
1,13-Jun-20,AP,222,2,94,Andhra Pradesh
1,13-Jun-20,AR,5,0,2,Arunachal Pradesh
1,13-Jun-20,AS,207,0,221,Assam
1,13-Jun-20,BR,193,0,370,Bihar
1,13-Jun-20,CH,5,0,0,Chandigarh
1,13-Jun-20,CT,105,0,87,Chhattisgarh
1,13-Jun-20,DD,0,0,0,Daman and Diu
1,13-Jun-20,DL,2134,57,1547,Delhi
1,13-Jun-20,DN,5,0,0,Dadra and Nagar Haveli and Daman and Diu
1,13-Jun-20,GA,60,0,1,Goa
1,13-Jun-20,GJ,517,33,390,Gujarat
1,13-Jun-20,HP,16,0,16,Himachal Pradesh
1,13-Jun-20,HR,415,8,328,Haryana
1,13-Jun-20,JH,55,0,131,Jharkhand
1,13-Jun-20,JK,148,2,183,Jammu and Kashmir
1,13-Jun-20,KA,308,3,208,Karnataka
1,13-Jun-20,KL,85,0,46,Kerala
1,13-Jun-20,LA,198,0,10,Ladakh
1,13-Jun-20,LD,0,0,0,Lakshadweep
1,13-Jun-20,MH,3427,113,1550,Maharashtra
1,13-Jun-20,ML,0,0,1,Meghalaya
1,13-Jun-20,MN,64,0,0,Manipur
1,13-Jun-20,MP,198,7,176,Madhya Pradesh
1,13-Jun-20,MZ,6,0,0,Mizoram
1,13-Jun-20,NL,7,0,27,Nagaland
1,13-Jun-20,OR,225,0,120,Odisha
1,13-Jun-20,PB,77,2,45,Punjab
1,13-Jun-20,PY,13,0,6,Puducherry
1,13-Jun-20,RJ,333,10,326,Rajasthan
1,13-Jun-20,SK,0,0,2,Sikkim
1,13-Jun-20,TG,253,8,74,Telangana
1,13-Jun-20,TN,1989,30,1362,Tamil Nadu
1,13-Jun-20,TR,83,0,37,Tripura
1,13-Jun-20,TT,12039,309,8092,Total
1,13-Jun-20,UN,-331,0,0,State Unassigned
1,13-Jun-20,UP,502,20,266,Uttar Pradesh
1,13-Jun-20,UT,61,2,130,Uttarakhand
1,13-Jun-20,WB,454,12,336,West Bengal
1,13-May-20,AN,0,0,0,Andaman and Nicobar Islands
1,13-May-20,AP,48,1,86,Andhra Pradesh
1,13-May-20,AR,0,0,0,Arunachal Pradesh
1,13-May-20,AS,15,0,0,Assam
1,13-May-20,BR,74,1,18,Bihar
1,13-May-20,CH,4,0,0,Chandigarh
1,13-May-20,CT,0,0,1,Chhattisgarh
1,13-May-20,DD,0,0,0,Daman and Diu
1,13-May-20,DL,359,20,346,Delhi
1,13-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,13-May-20,GA,0,0,0,Goa
1,13-May-20,GJ,364,29,316,Gujarat
1,13-May-20,HP,1,0,0,Himachal Pradesh
1,13-May-20,HR,13,0,76,Haryana
1,13-May-20,JH,5,0,8,Jharkhand
1,13-May-20,JK,37,1,11,Jammu and Kashmir
